PDE,BC,IC,Data
295.03765869140625,917.436767578125,266.444580078125,37.60728073120117
300.8359069824219,907.5164184570312,267.14105224609375,37.69142150878906
301.6141662597656,906.3350830078125,264.06298828125,37.46441650390625
308.6576843261719,903.3202514648438,252.17086791992188,37.05868148803711
316.10113525390625,895.8958129882812,242.7274627685547,36.506988525390625
309.4017639160156,892.265869140625,232.501708984375,36.49534225463867
320.61199951171875,865.7466430664062,234.39224243164062,36.676979064941406
320.61199951171875,865.7466430664062,234.39224243164062,36.676979064941406
292.29193115234375,873.5830688476562,245.45706176757812,36.67787551879883
296.886962890625,846.175537109375,252.10409545898438,37.51770782470703
286.3353576660156,864.6201171875,240.46990966796875,37.15100860595703
269.0350341796875,891.072265625,223.93157958984375,36.936405181884766
273.3945007324219,877.1572265625,209.97177124023438,38.4129638671875
241.96856689453125,901.6621704101562,208.76895141601562,38.49747848510742
247.83377075195312,876.250732421875,215.7371368408203,39.11945343017578
260.5960693359375,836.5131225585938,223.11788940429688,40.43962860107422
262.7511901855469,830.709228515625,222.55604553222656,40.627628326416016
260.20904541015625,831.57666015625,217.367431640625,40.845699310302734
260.39202880859375,818.0584716796875,205.540771484375,42.22181701660156
254.89224243164062,803.5045776367188,183.54190063476562,44.495262145996094
272.9499206542969,741.248779296875,163.51565551757812,49.88547134399414
241.36314392089844,779.3987426757812,167.39315795898438,48.56953430175781
254.34249877929688,763.77490234375,179.78598022460938,45.72645568847656
254.71238708496094,754.2709350585938,171.11288452148438,46.31735610961914
269.05657958984375,730.0477905273438,163.9871063232422,47.22793197631836
261.9213562011719,736.52001953125,161.3633270263672,46.515045166015625
274.8410949707031,742.452880859375,153.00311279296875,44.68475341796875
