x,z,rho
3.823529434204101562e+01,3.797468245029449463e-01,2.640538662672042847e-02
3.865546035766601562e+01,3.797468245029449463e-01,2.548677101731300354e-02
3.907563018798828125e+01,3.797468245029449463e-01,2.471306361258029938e-02
3.949580001831054688e+01,3.797468245029449463e-01,2.405046857893466949e-02
3.991596603393554688e+01,3.797468245029449463e-01,2.347315661609172821e-02
4.033613586425781250e+01,3.797468245029449463e-01,2.296105399727821350e-02
4.075630187988281250e+01,3.797468245029449463e-01,2.249835804104804993e-02
4.117647171020507812e+01,3.797468245029449463e-01,2.207244932651519775e-02
4.159663772583007812e+01,3.797468245029449463e-01,2.167321927845478058e-02
4.201680755615234375e+01,3.797468245029449463e-01,2.129247598350048065e-02
4.243697357177734375e+01,3.797468245029449463e-01,2.092355117201805115e-02
4.285714340209960938e+01,3.797468245029449463e-01,2.056108415126800537e-02
4.327730941772460938e+01,3.797468245029449463e-01,2.020080387592315674e-02
4.369747924804687500e+01,3.797468245029449463e-01,1.983942836523056030e-02
4.411764526367187500e+01,3.797468245029449463e-01,1.947454921901226044e-02
4.453781509399414062e+01,3.797468245029449463e-01,1.910462789237499237e-02
4.495798492431640625e+01,3.797468245029449463e-01,1.872896589338779449e-02
4.537815093994140625e+01,3.797468245029449463e-01,1.834761351346969604e-02
4.579832077026367188e+01,3.797468245029449463e-01,1.796136610209941864e-02
4.621848678588867188e+01,3.797468245029449463e-01,1.757169701159000397e-02
4.663865661621093750e+01,3.797468245029449463e-01,1.718061789870262146e-02
4.705882263183593750e+01,3.797468245029449463e-01,1.679063402116298676e-02
4.747899246215820312e+01,3.797468245029449463e-01,1.640448719263076782e-02
4.789915847778320312e+01,3.797468245029449463e-01,1.602509617805480957e-02
4.831932830810546875e+01,3.797468245029449463e-01,1.565528661012649536e-02
4.873949432373046875e+01,3.797468245029449463e-01,1.529774442315101624e-02
4.915966415405273438e+01,3.797468245029449463e-01,1.495475601404905319e-02
4.957983016967773438e+01,3.797468245029449463e-01,1.462824456393718719e-02
5.000000000000000000e+01,3.797468245029449463e-01,1.431959867477416992e-02
0.000000000000000000e+00,7.594936490058898926e-01,7.903378295898437500e+01
4.201680719852447510e-01,7.594936490058898926e-01,7.929912567138671875e+01
8.403361439704895020e-01,7.594936490058898926e-01,7.964207458496093750e+01
1.260504245758056641e+00,7.594936490058898926e-01,7.997162628173828125e+01
1.680672287940979004e+00,7.594936490058898926e-01,8.027616882324218750e+01
2.100840330123901367e+00,7.594936490058898926e-01,8.053073883056640625e+01
2.521008491516113281e+00,7.594936490058898926e-01,8.067491149902343750e+01
2.941176414489746094e+00,7.594936490058898926e-01,8.060849761962890625e+01
3.361344575881958008e+00,7.594936490058898926e-01,8.017720031738281250e+01
3.781512498855590820e+00,7.594936490058898926e-01,7.913948822021484375e+01
4.201680660247802734e+00,7.594936490058898926e-01,7.711669158935546875e+01
4.621848583221435547e+00,7.594936490058898926e-01,7.357122802734375000e+01
5.042016983032226562e+00,7.594936490058898926e-01,6.799185943603515625e+01
5.462184906005859375e+00,7.594936490058898926e-01,6.039212417602539062e+01
5.882352828979492188e+00,7.594936490058898926e-01,5.128776931762695312e+01
6.302521228790283203e+00,7.594936490058898926e-01,4.193033599853515625e+01
6.722689151763916016e+00,7.594936490058898926e-01,3.541354370117187500e+01
7.142857074737548828e+00,7.594936490058898926e-01,3.177482032775878906e+01
7.563024997711181641e+00,7.594936490058898926e-01,2.792145156860351562e+01
7.983193397521972656e+00,7.594936490058898926e-01,2.068028450012207031e+01
8.403361320495605469e+00,7.594936490058898926e-01,7.096679687500000000e+00
8.823529243469238281e+00,7.594936490058898926e-01,7.297659516334533691e-01
9.243697166442871094e+00,7.594936490058898926e-01,2.418131083250045776e-01
9.663865089416503906e+00,7.594936490058898926e-01,1.497564911842346191e-01
1.008403396606445312e+01,7.594936490058898926e-01,1.115516200661659241e-01
1.050420188903808594e+01,7.594936490058898926e-01,1.077383905649185181e-01
1.092436981201171875e+01,7.594936490058898926e-01,1.975730806589126587e-01
1.134453773498535156e+01,7.594936490058898926e-01,4.132890701293945312e-01
1.176470565795898438e+01,7.594936490058898926e-01,6.404445767402648926e-01
1.218487358093261719e+01,7.594936490058898926e-01,8.324474692344665527e-01
1.260504245758056641e+01,7.594936490058898926e-01,9.548525810241699219e-01
1.302521038055419922e+01,7.594936490058898926e-01,1.020382761955261230e+00
1.344537830352783203e+01,7.594936490058898926e-01,1.055167913436889648e+00
1.386554622650146484e+01,7.594936490058898926e-01,1.073734045028686523e+00
1.428571414947509766e+01,7.594936490058898926e-01,1.083199858665466309e+00
1.470588207244873047e+01,7.594936490058898926e-01,1.087295532226562500e+00
1.512604999542236328e+01,7.594936490058898926e-01,1.088128209114074707e+00
