x,y,t,u
-0.625,0.625,0.0,8.635933876412211e-08
-0.625,0.6875,0.0,2.3951611897121397e-08
-0.625,0.75,0.0,4.491252244397449e-09
-0.625,0.8125,0.0,6.440659589887768e-10
-0.625,0.875,0.0,7.770082715101523e-11
-0.625,0.9375,0.0,7.0476308278865526e-12
-0.625,1.0,0.0,3.0538906473779936e-13
-0.5625,-1.0,0.0,1.2323797963083097e-39
-0.5625,-0.9375,0.0,5.469942388223378e-36
-0.5625,-0.875,0.0,1.604860351211612e-33
-0.5625,-0.8125,0.0,5.241304875516377e-31
-0.5625,-0.75,0.0,2.458749909554805e-28
-0.5625,-0.6875,0.0,1.4424595928011393e-25
-0.5625,-0.625,0.0,8.40050820799073e-23
-0.5625,-0.5625,0.0,3.381839959339213e-20
-0.5625,-0.5,0.0,1.1702825717281402e-19
-0.5625,-0.4375,0.0,4.5708480528034595e-17
-0.5625,-0.375,0.0,8.327898127487565e-15
-0.5625,-0.3125,0.0,2.4594089406227777e-14
-0.5625,-0.25,0.0,3.071021128310365e-12
-0.5625,-0.1875,0.0,1.0722086570537194e-10
-0.5625,-0.125,0.0,4.19474254512776e-10
-0.5625,-0.0625,0.0,9.521894668818289e-09
-0.5625,0.0,0.0,2.290589506857242e-08
-0.5625,0.0625,0.0,2.600873065167933e-07
-0.5625,0.125,0.0,9.604474538617557e-07
-0.5625,0.1875,0.0,2.611722559009349e-06
-0.5625,0.25,0.0,5.960441529023494e-06
-0.5625,0.3125,0.0,1.0037494952066844e-05
-0.5625,0.375,0.0,1.2506877898308843e-05
-0.5625,0.4375,0.0,1.2269886728136387e-05
-0.5625,0.5,0.0,9.240897611385327e-06
-0.5625,0.5625,0.0,5.056697124321727e-06
-0.5625,0.625,0.0,2.172937515871055e-06
-0.5625,0.6875,0.0,6.026604279473791e-07
-0.5625,0.75,0.0,1.1300700809841941e-07
-0.5625,0.8125,0.0,1.6205717934047062e-08
-0.5625,0.875,0.0,1.9550756727284827e-09
-0.5625,0.9375,0.0,1.7732953543972926e-10
-0.5625,1.0,0.0,7.684071754162456e-12
-0.5,-1.0,0.0,4.0585210212528735e-39
-0.5,-0.9375,0.0,1.801382677170478e-35
-0.5,-0.875,0.0,5.2851884549542894e-33
-0.5,-0.8125,0.0,1.7260868832644106e-30
-0.5,-0.75,0.0,8.09725072077968e-28
-0.5,-0.6875,0.0,4.750363968338461e-25
-0.5,-0.625,0.0,2.766487997731532e-22
-0.5,-0.5625,0.0,1.113720673335142e-19
-0.5,-0.5,0.0,3.8540200288842607e-19
-0.5,-0.4375,0.0,1.5052894377874609e-16
-0.5,-0.375,0.0,2.7425757639412895e-14
-0.5,-0.3125,0.0,8.099421067495069e-14
-0.5,-0.25,0.0,1.0113606084176029e-11
-0.5,-0.1875,0.0,3.531039203058454e-10
-0.5,-0.125,0.0,1.381428910887932e-09
-0.5,-0.0625,0.0,3.135787343424344e-08
-0.5,0.0,0.0,7.543458349844327e-08
-0.5,0.0625,0.0,8.565296218109767e-07
-0.5,0.125,0.0,3.1629828669566707e-06
-0.5,0.1875,0.0,8.601026192714386e-06
-0.5,0.25,0.0,1.9629157597321252e-05
-0.5,0.3125,0.0,3.30558683173117e-05
-0.5,0.375,0.0,4.1188136167586686e-05
-0.5,0.4375,0.0,4.040766763923409e-05
-0.5,0.5,0.0,3.0432483008403838e-05
-0.5,0.5625,0.0,1.6652911414684076e-05
-0.5,0.625,0.0,7.156002242530608e-06
-0.5,0.6875,0.0,1.9847047337424764e-06
-0.5,0.75,0.0,3.721590692173184e-07
-0.5,0.8125,0.0,5.3369299867498334e-08
-0.5,0.875,0.0,6.438531157097604e-09
-0.5,0.9375,0.0,5.839885150884915e-10
-0.5,1.0,0.0,2.530548361511912e-11
-0.4375,-1.0,0.0,8.143024575706403e-38
-0.4375,-0.9375,0.0,3.614297753698151e-34
-0.4375,-0.875,0.0,1.060421253224082e-31
-0.4375,-0.8125,0.0,3.4632241244095817e-29
-0.4375,-0.75,0.0,1.6246339804496027e-26
-0.4375,-0.6875,0.0,9.53113962824534e-24
-0.4375,-0.625,0.0,5.550686970932667e-21
-0.4375,-0.5625,0.0,2.234571353936377e-18
-0.4375,-0.5,0.0,7.732713381580785e-18
-0.4375,-0.4375,0.0,3.0202156946499035e-15
-0.4375,-0.375,0.0,5.502709417928881e-13
-0.4375,-0.3125,0.0,1.625069439242328e-12
-0.4375,-0.25,0.0,2.0291959179512975e-10
-0.4375,-0.1875,0.0,7.084684016102824e-09
-0.4375,-0.125,0.0,2.7717016893703537e-08
-0.4375,-0.0625,0.0,6.291649905957789e-07
-0.4375,0.0,0.0,1.5135209700019514e-06
-0.4375,0.0625,0.0,1.7185427212778434e-05
-0.4375,0.125,0.0,6.346215057970866e-05
-0.4375,0.1875,0.0,0.00017257115904242934
-0.4375,0.25,0.0,0.00039383980489044395
-0.4375,0.3125,0.0,0.0006632335933942919
-0.4375,0.375,0.0,0.0008263995758155758
-0.4375,0.4375,0.0,0.000810740239880983
-0.4375,0.5,0.0,0.0006105979388538385
-0.4375,0.5625,0.0,0.0003341243428251887
-0.4375,0.625,0.0,0.00014357817002694212
-0.4375,0.6875,0.0,3.9821154893012266e-05
-0.4375,0.75,0.0,7.467006899407661e-06
-0.4375,0.8125,0.0,1.0708026843609211e-06
-0.4375,0.875,0.0,1.291828160286622e-07
-0.4375,0.9375,0.0,1.1717157076170186e-08
-0.4375,1.0,0.0,5.077297219824111e-10
-0.375,-1.0,0.0,7.175448928244062e-37
-0.375,-0.9375,0.0,3.184837366265535e-33
-0.375,-0.875,0.0,9.34419204337706e-31
-0.375,-0.8125,0.0,3.0517147038830195e-28
-0.375,-0.75,0.0,1.4315906878857533e-25
